"ID","name","fa_loans_debt_avg_d"
"1127","SUNY College at Potsdam",21531
"1128","SUNY at Purchase College",26348
"1130","SUNY College at Plattsburgh",28125
"1138","Adelphi University",32328
"1142","Bard College",26599
"1143","Barnard College",17660
"1147","Canisius College",40913
"1148","Cazenovia College",29998
"1150","Clarkson University",28000
"1151","Colgate University",21405
"1155","Cooper Union for the Advancement of Science and Art",19072
"1156","Cornell University",21411
"1157","Culinary Institute of America",35617
"1158","D'Youville College",33169
"1161","Dominican College of Blauvelt",22640
"1162","Dowling College",39116
"1163","Elmira College",26471
"1164","Fordham University",37607
"1165","Hamilton College",18941
"1166","Hartwick College",26708
"1168","Hilbert College",20139
"1169","Hobart William Smith Colleges",34330
"1171","Houghton College",26550
"1172","Iona College",30885
"1175","The Juilliard School",26712
"1178","Le Moyne College",34500
"1179","LIU Brooklyn",41554
"1180","LIU Post",35474
"1183","Manhattan College",37449
"1184","Manhattan School of Music",3694
"1185","Manhattanville College",33444
"1187","Marist College",34801
"1188","Marymount Manhattan College",29419
"1190","Mercy College",17399
"1196","Mount Saint Mary College",31764
"1198","Nazareth College",35396
"1199","The College of New Rochelle",37437
"1201","New York University",27977
"1202","Niagara University",30289
"1204","New York School of Interior Design",33146
"1205","Nyack College",37577
"1207","Pace University-New York",35442
"1210","Pratt Institute-Main",34877
"1218","Rensselaer Polytechnic Institute",41814
"1219","Roberts Wesleyan College",35461
"1220","Rochester Institute of Technology",26000
"1221","University of Rochester",30604
"1222","The Sage Colleges",26534
"1223","St Bonaventure University",35627
"1224","St Francis College",23835
"1225","St Lawrence University",26792
"1226","The College of Saint Rose",34482
"1227","St Thomas Aquinas College",28750
"1228","Sarah Lawrence College",18483
"1230","Siena College",32678
"1231","Skidmore College",22887
"1232","Saint Joseph's College-New York",23772
"1233","Saint John Fisher College",32982
"1234","St John's University-New York",32950
"1235","Syracuse University",34584
"1239","Touro College",17000
"1242","Union College",29586
"1244","Utica College",42083
"1245","Vassar College",17476
"1246","Villa Maria College",22658
"1248","Webb Institute",10000
"1249","Wells College",36498
"1255","Yeshiva University",24101
"1271","The King’s College",28117
"1275","Appalachian State University",21693
"1276","East Carolina University",29699
"1278","Fayetteville State University",24029
"1279","North Carolina A & T State University",26265
"1280","University of North Carolina at Asheville",21105
"1281","University of North Carolina at Chapel Hill",18945
"1282","University of North Carolina at Charlotte",26488
"1283","University of North Carolina at Greensboro",23265
"1284","North Carolina Central University",31747
"1285","University of North Carolina School of the Arts",22697
"1286","North Carolina State University at Raleigh",20482
"1287","University of North Carolina Wilmington",25644
"1288","University of North Carolina at Pembroke",24860
"1290","Western Carolina University",23806
"1292","Belmont Abbey College",27341
"1294","Brevard College",35211
"1296","Campbell University",27578
"1297","Catawba College",28132
"1298","Chowan University",33992
"1299","Davidson College",21365
"1300","Duke University",20556
"1301","Elon University",27176
"1302","Gardner-Webb University",29543
"1304","Guilford College",25360
"1308","Johnson C Smith University",33377
"1310","Lenoir-Rhyne University",27814
"1313","Meredith College",34535
"1314","Methodist University",35525
"1315","Montreat College",19899
"1316","Mount Olive College",28241
"1318","William Peace University",32000
"1320","Piedmont International University",17929
"1321","Queens University of Charlotte",28359
"1322","Mid-Atlantic Christian University",33980
"1323","Saint Augustine's University",19500
"1326","St Andrews University",27760
"1328","Wake Forest University",34745
"1329","Warren Wilson College",24839
"1330","Wingate University",29939
"1333","New Life Theological Seminary",39607
"1338","Dickinson State University",24244
"1340","Mayville State University",31681
"1341","Minot State University",24856
"1345","Valley City State University",27756
"1346","University of Jamestown",26530
"1352","University of Akron Main Campus",23124
"1353","Bowling Green State University-Main Campus",30307
"1355","University of Cincinnati-Main Campus",28228
"1358","Cleveland State University",24856
"1365","Kent State University at Kent",32393
"1367","Miami University-Oxford",27181
"1372","Ohio State University-Main Campus",26830
"1373","Ohio University-Main Campus",27645
"1375","University of Toledo",27928
"1376","Wright State University-Main Campus",30778
"1378","Youngstown State University",30481
"1381","Ashland University",36779
"1382","Baldwin Wallace University",32526
"1383","Bluffton University",35883
"1384","Capital University",33833
"1385","Case Western Reserve University",33343
"1386","Cedarville University",29105
"1387","Cincinnati Christian University",32675
"1390","Cleveland Institute of Art",30681
"1391","Cleveland Institute of Music",27157
"1392","Columbus College of Art and Design",32006
"1393","University of Dayton",35278
"1396","The University of Findlay",34434
